"timestamp,username,question,answer,confidence"2025-12-19 07:01:40,Abhiram,Can you help me out with low volume production?,Q: Can you help with low-volume production?,1.0
2025-12-19 07:03:05,Abhiram,give best visual prototype?,Q: Which material is best for visual prototypes?,0.568
2025-12-19 07:16:16,Abhi,which metal you can print,"Stainless steel, aluminium, and titanium are the most common.",0.622
2025-12-19 09:37:27,abhiram,how fast can i get order and can i send my cad file,"Usually 5–6 days, but it depends on the material and complexity. We",0.751
2025-12-19 09:38:42,abhiram,do u ship all over australia and do you offer express printing,Yep! We deliver across Australia and also ship internationally.,0.789
2025-12-19 09:52:49,ram,which material do u print and what size objects u can scan,"1. What materials can you print with?
2. What size objects can you scan?",1.0
2025-12-19 10:01:00,abhi,can you handle low quality and will i get heat resistance materials,"1. That’s one of our specialties — we do both prototyping and low-volume
2. Yes — Nylon PA12, ULTEM, and certain resins can handle high",1.0
2025-12-19 10:04:24,abhi,prime minister of india,"Sorry, I couldn't find relevant information.",0.0
2025-12-19 10:19:11,Ram,do u offer milling and wt material supported for CNC machining,"1. Yes, we offer CNC milling and turning for high-precision parts in metals
2. Aluminium, stainless steel, titanium, brass, and engineering plastics",1.0
2025-12-21 11:00:18,Abhiram,what quality of material is provided you,"1. ABS, Nylon (PA12), and TPU are great for strong, working parts.",1.0
2025-12-31 11:03:22,Abhi,what is the cost of the metals and which elements are being used,"1. Yes — stainless steel, aluminium, titanium, and more.
2. Yes, our scanners deliver accuracy up to ±0.05 mm, making them",1.0
2025-12-31 11:03:57,Abhi,wt is the duartion taken to deliver,"1. Very accurate — up to ±0.1 mm, depending on the material and size of",1.0
2025-12-31 11:05:08,abhi,do u offer design assistance,1. Definitely. Our team can help optimize your design and prepare files for,1.0
2025-12-31 11:10:58,Abhi,what material you print with and and do you have a size limit,"1. We’ve got you covered with 45+ options — everything from standard
2. We can machine parts up to 1,000 × 600 × 500 mm, depending on material and complexity.",1.0
2025-12-31 11:12:19,Abhi,do u work with metal as well,1. Vacuum casting is a process where silicone moulds are used to produce high-quality plastic prototypes and small-batch parts.,1.0
2025-12-31 11:13:19,Abhi,How does vaccum casting work?,1. Vacuum casting is a process where silicone moulds are used to produce high-quality plastic prototypes and small-batch parts.,1.0
2025-12-31 11:15:32,Abhi,are the materials looks for showing off a model,"1. ABS (SLA) resin are affordable and give a smooth, clean finish.",1.0
2025-12-31 11:16:29,Abhi,can you print flexible materials,"1. Yes, we offer TPU and flexible resins.",1.0
2025-12-31 11:17:39,Abhi,do you have any print that are food safe,1. We have certified biocompatible resins and medical-grade plastics.,1.0
2025-12-31 11:18:18,Abhi,any transparent material presents?,"1. Yes, clear SLA resins are available for see-through designs.",1.0
2025-12-31 11:24:14,Ram,do you provide transparent material and do you print in metals?,"1. Yes, clear SLA resins are available for see-through designs.
2. Yes — stainless steel, aluminium, titanium, and more.",1.0
2025-12-31 11:25:54,Ram,i need super strong which material i use and will print be made transparent or glass like,"1. Nylon PA12 reinforced with glass or carbon fibre is extremely tough.
2. Yes, clear SLA resins are available for see-through designs.",1.0
2025-12-31 14:56:21,abhi,how accurate are the cnc patrs and materials available in vaccum casting,"1. Our CNC machining can achieve tolerances as tight as ±0.01 mm.
2. A wide range of polyurethane resins mimicking ABS, PP, rubber, and even transparent materials.",1.0
